job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Wellness Program Coordinator,DOC,13,119916.0,2009-12-21,CS - Reg,2009,17,13.0,100K-125K
Investigator,DOC,11,84167.0,1993-09-09,CS - Reg,1993,33,11.0,75K-100K
Program Analyst,DOC,09,69770.0,2025-06-02,CS - Term,2025,1,9.0,50K-75K
Correctional Officer - Lead,DOC,09,89530.0,1993-10-24,CS - Reg,1993,33,9.0,75K-100K
Operations Research Analyst,DOC,14,127615.0,2022-03-28,CS - Reg,2022,4,14.0,125K-150K
Supervisory Correctional Treat,DOC,13,113665.91,2014-11-03,MSS - Reg,2014,12,13.0,100K-125K
Case Manager,DOC,11,79418.0,2024-02-12,CS - Reg,2024,2,11.0,75K-100K
Budget Technician,DOC,07,53246.0,2023-12-18,CS - Reg,2023,3,7.0,50K-75K
Correctional Officer,DOC,08,81286.0,2008-06-30,CS - Reg,2008,18,8.0,75K-100K
Correctional Officer,DOC,07,60418.0,2024-03-25,CS - Reg,2024,2,7.0,50K-75K
Financial Manager,DOC,14,142350.0,2021-07-06,CS - Reg,2021,5,14.0,125K-150K
Correctional Officer,DOC,08,72121.0,2019-03-18,CS - Reg,2019,7,8.0,50K-75K
Correctional Officer - Lead,DOC,09,81434.0,2014-06-02,CS - Reg,2014,12,9.0,75K-100K
Correctional Officer,DOC,08,79453.0,2013-05-20,CS - Reg,2013,13,8.0,75K-100K
Management And Program Analyst,DOC,11,75775.0,2013-06-03,CS - Reg,2013,13,11.0,75K-100K
Program Analyst,DOC,11,69481.0,2022-08-15,CS - Reg,2022,4,11.0,50K-75K
Correctional Officer,DOC,08,81286.0,1992-04-07,CS - Reg,1992,34,8.0,75K-100K
Supervisory Statistician,DOC,15,177839.55,2004-07-12,MSS - Reg,2004,22,15.0,150K+
Correctional Officer,DOC,08,66622.0,2022-08-01,CS - Reg,2022,4,8.0,50K-75K
Correctional Officer,DOC,08,81286.0,2008-12-22,CS - Reg,2008,18,8.0,75K-100K
Correctional Officer,DOC,08,79453.0,2010-02-01,CS - Reg,2010,16,8.0,75K-100K
Correctional Officer,DOC,08,66622.0,2022-05-23,CS - Reg,2022,4,8.0,50K-75K
Correctional Officer,DOC,08,73954.0,2017-12-11,CS - Reg,2017,9,8.0,50K-75K
Lead Legal Instruments Examine,DOC,09,84695.0,1991-04-22,CS - Reg,1991,35,9.0,75K-100K
Grants Management Specialist,DOC,09,68038.0,2015-04-06,CS - Reg,2015,11,9.0,50K-75K
Management Liaison Specialist,DOC,12,103333.0,1999-02-08,CS - Reg,1999,27,12.0,100K-125K
Peer Support Assistant,DOC,07,58608.0,2024-08-26,CS - Term,2024,2,7.0,50K-75K
Correctional Officer (Canine H,DOC,08,79453.0,2008-11-10,CS - Reg,2008,18,8.0,75K-100K
Correctional Officer,DOC,08,79453.0,2009-10-26,CS - Reg,2009,17,8.0,75K-100K
Inmate Grievance Coordinator,DOC,07,58608.0,2023-09-25,CS - Reg,2023,3,7.0,50K-75K
Case Manager,DOC,09,71981.0,2014-08-11,CS - Reg,2014,12,9.0,50K-75K
Correctional Officer,DOC,08,81286.0,2007-03-05,CS - Reg,2007,19,8.0,75K-100K
Correctional Officer,DOC,08,81286.0,2007-11-13,CS - Reg,2007,19,8.0,75K-100K
Correctional Officer,DOC,08,66622.0,2022-11-07,CS - Reg,2022,4,8.0,50K-75K
Supv Correctional Officer,DOC,12,89723.14,2016-05-16,MSS - Reg,2016,10,12.0,75K-100K
Legal Instruments Examiner,DOC,06,52909.0,2024-09-23,CS - Reg,2024,2,6.0,50K-75K
It Specialist,DOC,11,84517.0,2010-06-07,CS - Reg,2010,16,11.0,75K-100K
It Specialist (App Software),DOC,14,154479.0,2010-07-19,CS - Reg,2010,16,14.0,150K+
Supv Correctional Officer,DOC,11,82360.0,2010-12-20,MSS - Reg,2010,16,11.0,75K-100K
Correctional Officer - Lead,DOC,09,85482.0,2010-08-30,CS - Reg,2010,16,9.0,75K-100K
Teacher,DOC,11,71579.0,2025-09-22,CS - Reg,2025,1,11.0,50K-75K
Criminal Investigator,DOC,12,83289.0,2013-05-06,CS - Reg,2013,13,12.0,75K-100K
Correctional Officer,DOC,08,75787.0,2007-07-09,CS - Reg,2007,19,8.0,75K-100K
Clerical Assistant,DOC,07,67548.0,2019-02-25,CS - Reg,2019,7,7.0,50K-75K
Correctional Officer,DOC,08,81286.0,1991-06-17,CS - Reg,1991,35,8.0,75K-100K
Correctional Officer,DOC,08,79453.0,2010-08-16,CS - Reg,2010,16,8.0,75K-100K
Electrician Foreman,DOC,10,40.23,1983-10-17,CS - Reg,1983,43,10.0,Under 50K
Correctional Treatment Spec (R,DOC,12,113594.0,2016-09-19,CS - Reg,2016,10,12.0,100K-125K
Paralegal Specialist,DOC,11,73677.0,2018-09-17,CS - Reg,2018,8,11.0,50K-75K
Correctional Officer - Lead,DOC,09,83458.0,2013-06-17,CS - Reg,2013,13,9.0,75K-100K
It Specialist,DOC,11,89329.0,2025-04-21,CS - Reg,2025,1,11.0,75K-100K
Program Support Assistant,DOC,07,58608.0,2024-09-23,CS - Term,2024,2,7.0,50K-75K
Peer Support Assistant,DOC,07,56820.0,2017-05-01,CS - Term,2017,9,7.0,50K-75K
Correctional Officer,DOC,08,73954.0,2017-02-06,CS - Reg,2017,9,8.0,50K-75K
Correctional Officer - Lead,DOC,09,89530.0,2009-06-08,CS - Reg,2009,17,9.0,75K-100K
Correctional Officer,DOC,08,72121.0,2014-06-16,CS - Reg,2014,12,8.0,50K-75K
Correctional Officer - Lead,DOC,09,85482.0,2012-04-09,CS - Reg,2012,14,9.0,75K-100K
Lead Legal Instruments Examine,DOC,09,84695.0,2007-08-20,CS - Reg,2007,19,9.0,75K-100K
Lead Correctional Ofc,DOC,09,89530.0,1992-06-28,CS - Reg,1992,34,9.0,75K-100K
Office Manager,DOC,11,102667.28,2009-05-26,MSS - Reg,2009,17,11.0,100K-125K
Correctional Officer,DOC,08,72121.0,2020-03-16,CS - Reg,2020,6,8.0,50K-75K
Correctional Officer,DOC,08,73954.0,2015-05-08,CS - Reg,2015,11,8.0,50K-75K
Accountant,DOC,12,104168.0,2014-06-16,CS - Reg,2014,12,12.0,100K-125K
Legal Instruments Examiner,DOC,08,65513.0,2022-05-09,CS - Reg,2022,4,8.0,50K-75K
Correctional Officer,DOC,08,81286.0,1991-01-03,CS - Reg,1991,35,8.0,75K-100K
Supv Correctional Officer,DOC,11,88283.2,1995-02-06,CS - Reg,1995,31,11.0,75K-100K
Security Guard,DOC,05,46699.0,2012-12-17,CS - Reg,2012,14,5.0,Under 50K
Information Technology Spec.,DOC,12,109924.0,2010-05-10,CS - Reg,2010,16,12.0,100K-125K
Correctional Officer,DOC,08,72121.0,2018-08-06,CS - Reg,2018,8,8.0,50K-75K
Legal Instruments Examiner,DOC,06,51291.0,2025-06-16,CS - Reg,2025,1,6.0,50K-75K
Program Support Assistant,DOC,07,58608.0,2024-09-09,CS - Term,2024,2,7.0,50K-75K
Correctional Officer,DOC,06,56617.0,2021-05-10,CS - Reg,2021,5,6.0,50K-75K
Correctional Officer - Lead,DOC,09,89530.0,1986-10-28,CS - Reg,1986,40,9.0,75K-100K
Lead Legal Instruments Examine,DOC,09,84695.0,2006-12-26,CS - Reg,2006,20,9.0,75K-100K
Correctional Officer,DOC,06,56617.0,2024-07-15,CS - Reg,2024,2,6.0,50K-75K
Correctional Officer,DOC,07,60418.0,2023-09-25,CS - Reg,2023,3,7.0,50K-75K
Correctional Officer,DOC,08,79453.0,2009-12-07,CS - Reg,2009,17,8.0,75K-100K
Supv Criminal Investigator (Ia,DOC,14,122566.58,2017-10-02,MSS - Reg,2017,9,14.0,100K-125K
Correctional Officer - Lead,DOC,09,89530.0,2007-08-06,CS - Reg,2007,19,9.0,75K-100K
Program Support Assistant,DOC,07,58608.0,2024-07-29,CS - Term,2024,2,7.0,50K-75K
Supvy Correctional Officer,DOC,13,100055.98,2010-08-30,MSS - Reg,2010,16,13.0,100K-125K
Correctional Officer,DOC,08,77620.0,2014-01-27,CS - Reg,2014,12,8.0,75K-100K
Clerical Assistant,DOC,07,60396.0,2020-09-14,CS - Reg,2020,6,7.0,50K-75K
Correctional Institution Admn,DOC,15,148700.0,2024-09-23,MSS - Reg,2024,2,15.0,125K-150K
Monitoring Specialist,DOC,11,69481.0,2017-10-30,CS - Reg,2017,9,11.0,50K-75K
Records Info And Privacy Ofc,DOC,14,141707.0,1989-05-21,CS - Reg,1989,37,14.0,125K-150K
Correctional Officer,DOC,08,72121.0,2018-08-20,CS - Reg,2018,8,8.0,50K-75K
Supervisory Correctional Offic,DOC,12,102400.38,1990-03-12,MSS - Reg,1990,36,12.0,100K-125K
Correctional Officer - Lead,DOC,09,89530.0,1996-08-19,CS - Reg,1996,30,9.0,75K-100K
Correctional Officer - Lead,DOC,09,89530.0,2005-01-10,CS - Reg,2005,21,9.0,75K-100K
Correctional Officer - Lead,DOC,09,89530.0,1991-02-06,CS - Reg,1991,35,9.0,75K-100K
Program Analyst,DOC,11,73677.0,2023-11-20,CS - Reg,2023,3,11.0,50K-75K
Labor Relations & Workforce,DOC,13,119916.0,1985-09-30,CS - Reg,1985,41,13.0,100K-125K
Supervisory Federal Billing Sp,DOC,12,103840.0,2023-10-10,MSS - Reg,2023,3,12.0,100K-125K
Correctional Officer - Lead,DOC,09,87506.0,2009-01-05,CS - Reg,2009,17,9.0,75K-100K
Supv Correctional Officer,DOC,11,75000.0,2008-05-27,MSS - Reg,2008,18,11.0,50K-75K
Program Analyst,DOC,11,65285.0,2023-12-18,CS - Reg,2023,3,11.0,50K-75K
Correctional Officer,DOC,08,81286.0,1990-02-27,CS - Reg,1990,36,8.0,75K-100K
Supv Correctional Officer,DOC,11,75000.0,2024-03-25,MSS - Reg,2024,2,11.0,50K-75K
Correctional Officer - Lead,DOC,09,87506.0,1984-05-14,CS - Reg,1984,42,9.0,75K-100K
Staff Assistant,DOC,09,61110.0,2019-09-30,CS - Reg,2019,7,9.0,50K-75K
Clerical Assistant,DOC,07,67548.0,1985-01-27,CS - Reg,1985,41,7.0,50K-75K
Legal Instruments Examiner,DOC,08,67315.0,2018-10-29,CS - Reg,2018,8,8.0,50K-75K
Correctional Officer,DOC,08,66622.0,2023-01-03,CS - Reg,2023,3,8.0,50K-75K
Supv Correctional Officer,DOC,11,98483.0,1994-04-18,MSS - Reg,1994,32,11.0,75K-100K
Correctional Officer,DOC,06,58079.0,2023-05-22,CS - Reg,2023,3,6.0,50K-75K
Case Manager,DOC,11,87089.0,2012-10-01,CS - Reg,2012,14,11.0,75K-100K
Supvy Workforce Dev. Special.,DOC,13,103000.0,2021-04-26,MSS - Reg,2021,5,13.0,100K-125K
Maintenance Mechanic,DOC,09,73798.4,2019-08-05,CS - Reg,2019,7,9.0,50K-75K
Correctional Officer,DOC,08,75787.0,2016-04-18,CS - Reg,2016,10,8.0,75K-100K
Program Analyst,DOC,11,73677.0,2013-06-03,CS - Reg,2013,13,11.0,50K-75K
Correctional Officer - Lead,DOC,09,89530.0,1993-05-16,CS - Reg,1993,33,9.0,75K-100K
Supervisory Program Analyst,DOC,13,124132.61,2007-04-30,MSS - Reg,2007,19,13.0,100K-125K
Correctional Officer,DOC,08,81286.0,1991-07-15,CS - Reg,1991,35,8.0,75K-100K
Correctional Officer,DOC,08,81286.0,1988-07-23,CS - Reg,1988,38,8.0,75K-100K
Program Analyst,DOC,13,113950.0,1985-09-30,CS - Reg,1985,41,13.0,100K-125K
Correctional Officer - Lead,DOC,09,77386.0,2019-02-19,CS - Reg,2019,7,9.0,75K-100K
Correctional Officer,DOC,08,81286.0,1989-03-16,CS - Reg,1989,37,8.0,75K-100K
Legal Instrument Examiner,DOC,07,53244.0,2023-12-18,CS - Reg,2023,3,7.0,50K-75K
Special Assistant,DOC,12,103333.0,1992-06-02,CS - Reg,1992,34,12.0,100K-125K
Correctional Officer,DOC,07,60418.0,2020-03-16,CS - Reg,2020,6,7.0,50K-75K
Supv Correctional Officer,DOC,11,98483.0,1998-12-22,MSS - Reg,1998,28,11.0,75K-100K
Correctional Officer,DOC,08,73954.0,2014-03-24,CS - Reg,2014,12,8.0,50K-75K
Correctional Officer,DOC,08,73954.0,2007-10-29,CS - Reg,2007,19,8.0,50K-75K
Staff Assistant,DOC,09,61110.0,1987-03-28,CS - Reg,1987,39,9.0,50K-75K
Security Officer,DOC,12,86533.0,2025-04-21,MSS - Reg,2025,1,12.0,75K-100K
Correctional Officer,DOC,08,81286.0,1991-04-22,CS - Reg,1991,35,8.0,75K-100K
Operations Research Analyst,DOC,14,127615.0,2014-08-11,CS - Reg,2014,12,14.0,125K-150K
Correctional Officer - Lead,DOC,09,83458.0,2013-11-18,CS - Reg,2013,13,9.0,75K-100K
Mail Clerk,DOC,06,51291.0,2025-08-11,CS - Reg,2025,1,6.0,50K-75K
Deputy Director Of Management,DOC,16,193239.33,2020-01-06,MSS - Reg,2020,6,16.0,150K+
Management And Program Analyst,DOC,11,79971.0,2014-06-30,CS - Reg,2014,12,11.0,75K-100K
Training Specialist,DOC,11,77873.0,2019-09-30,CS - Reg,2019,7,11.0,75K-100K
Correctional Officer,DOC,08,70288.0,2018-07-23,CS - Reg,2018,8,8.0,50K-75K
Staff Assistant,DOC,09,64574.0,2024-01-29,CS - Reg,2024,2,9.0,50K-75K
Correctional Officer,DOC,08,81286.0,1995-10-15,CS - Reg,1995,31,8.0,75K-100K
Contract Administrator,DOC,12,98322.0,2017-04-03,CS - Reg,2017,9,12.0,75K-100K
Program Analyst,DOC,11,82069.0,2008-02-11,CS - Reg,2008,18,11.0,75K-100K
Training Specialist,DOC,12,85794.0,2014-08-25,CS - Reg,2014,12,12.0,75K-100K
Program Analyst,DOC,11,73677.0,2024-04-22,CS - Reg,2024,2,11.0,50K-75K
Locksmith,DOC,09,71697.6,2022-11-07,CS - Reg,2022,4,9.0,50K-75K
Supv Correctional Officer,DOC,12,99833.64,1993-05-03,MSS - Reg,1993,33,12.0,75K-100K
Special Assistant,DOC,13,139318.19,2006-08-07,MSS - Reg,2006,20,13.0,125K-150K
Correctional Officer,DOC,08,75787.0,2014-06-02,CS - Reg,2014,12,8.0,75K-100K
Correctional Officer - Lead,DOC,09,89530.0,1994-08-20,CS - Reg,1994,32,9.0,75K-100K
Correctional Officer,DOC,08,72121.0,2018-09-04,CS - Reg,2018,8,8.0,50K-75K
Correctional Officer,DOC,08,66622.0,2009-01-05,CS - Reg,2009,17,8.0,50K-75K
Program Support Assistant,DOC,07,67548.0,2017-02-01,CS - Reg,2017,9,7.0,50K-75K
Correctional Officer,DOC,08,75787.0,2009-07-06,CS - Reg,2009,17,8.0,75K-100K
Correctional Officer,DOC,08,77620.0,2004-03-15,CS - Reg,2004,22,8.0,75K-100K
Correctional Officer,DOC,07,60418.0,2016-01-25,CS - Reg,2016,10,7.0,50K-75K
Correctional Officer - Lead,DOC,09,77386.0,2019-04-29,CS - Reg,2019,7,9.0,75K-100K
Supervisory It Specialist,DOC,15,169829.73,2000-10-23,MSS - Reg,2000,26,15.0,150K+
Equal Opportunity Specialist,DOC,12,90805.0,2024-06-03,CS - Reg,2024,2,12.0,75K-100K
Teacher,DOC,11,79971.0,2010-11-22,CS - Reg,2010,16,11.0,75K-100K
Supervisory Correctional Offic,DOC,12,95213.44,2007-12-24,MSS - Reg,2007,19,12.0,75K-100K
Correctional Officer,DOC,08,81286.0,1991-09-07,CS - Reg,1991,35,8.0,75K-100K
Correctional Officer,DOC,08,70288.0,2008-08-18,CS - Reg,2008,18,8.0,50K-75K
Correctional Officer,DOC,08,81286.0,1993-04-08,CS - Reg,1993,33,8.0,75K-100K
Correctional Officer,DOC,08,66622.0,2021-08-30,CS - Reg,2021,5,8.0,50K-75K
Correctional Officer,DOC,07,60418.0,2024-03-11,CS - Reg,2024,2,7.0,50K-75K
It Spec (Application Software),DOC,13,130717.0,2003-10-01,CS - Reg,2003,23,13.0,125K-150K
Correctional Officer - Lead,DOC,09,89530.0,1993-04-20,CS - Reg,1993,33,9.0,75K-100K
Staff Assistant,DOC,09,62842.0,2012-05-21,CS - Reg,2012,14,9.0,50K-75K
Data Analyst,DOC,12,83289.0,2025-06-30,CS - Reg,2025,1,12.0,75K-100K
Staff Assistant,DOC,11,79971.0,2017-02-01,CS - Reg,2017,9,11.0,75K-100K
Correctional Officer,DOC,06,55155.0,2025-08-25,CS - Reg,2025,1,6.0,50K-75K
Correctional Officer - Lead,DOC,09,89530.0,1991-06-17,CS - Reg,1991,35,9.0,75K-100K
Support Services Supervisor,DOC,13,132837.72,2013-10-07,MSS - Reg,2013,13,13.0,125K-150K
Correctional Officer,DOC,08,81286.0,1989-03-05,CS - Reg,1989,37,8.0,75K-100K
Lead Correctional Ofc,DOC,09,89530.0,1993-07-14,CS - Reg,1993,33,9.0,75K-100K
Monitoring Specialist,DOC,09,59378.0,2025-08-25,CS - Reg,2025,1,9.0,50K-75K
Staff Assistant,DOC,09,69770.0,2010-12-20,CS - Reg,2010,16,9.0,50K-75K
Correctional Officer (Canine H,DOC,08,73954.0,2017-10-16,CS - Reg,2017,9,8.0,50K-75K
Case Manager,DOC,11,87089.0,2011-02-28,CS - Reg,2011,15,11.0,75K-100K
Lead Legal Instruments Examine,DOC,09,80457.0,2007-08-20,CS - Reg,2007,19,9.0,75K-100K
Legal Instrument Examiner,DOC,07,56820.0,2024-05-06,CS - Reg,2024,2,7.0,50K-75K
Correctional Officer,DOC,08,70288.0,2021-02-01,CS - Reg,2021,5,8.0,50K-75K
Management And Program Analyst,DOC,11,82069.0,2017-02-01,CS - Reg,2017,9,11.0,75K-100K
Staff Assistant,DOC,11,73677.0,2017-11-13,CS - Reg,2017,9,11.0,50K-75K
Clerical Assistant,DOC,07,60396.0,2021-07-06,CS - Term,2021,5,7.0,50K-75K
Correctional Officer,DOC,08,79453.0,2010-07-19,CS - Reg,2010,16,8.0,75K-100K
Correctional Officer - Lead,DOC,09,77386.0,2019-05-28,CS - Reg,2019,7,9.0,75K-100K
Correctional Officer - Lead,DOC,09,81434.0,2014-07-28,CS - Reg,2014,12,9.0,75K-100K
Maintenance Mechanic,DOC,09,71697.6,2021-11-22,CS - Reg,2021,5,9.0,50K-75K
Correctional Officer,DOC,08,75787.0,2016-05-02,CS - Reg,2016,10,8.0,75K-100K
Monitoring Specialist,DOC,11,69481.0,2017-02-01,CS - Reg,2017,9,11.0,50K-75K
Training Specialist,DOC,12,103333.0,2007-10-15,CS - Reg,2007,19,12.0,100K-125K
Public Affairs Specialist,DOC,13,102018.0,2023-01-03,CS - Reg,2023,3,13.0,100K-125K
Door Systems Mechanic,DOC,09,80100.8,2010-02-01,CS - Reg,2010,16,9.0,75K-100K
Correctional Officer,DOC,08,81286.0,1991-04-26,CS - Reg,1991,35,8.0,75K-100K
Library Technician,DOC,07,57322.0,2005-10-10,CS - Reg,2005,21,7.0,50K-75K
Lead Legal Instruments Examine,DOC,09,82576.0,2007-07-08,CS - Reg,2007,19,9.0,75K-100K
Correctional Officer,DOC,08,81286.0,2008-10-14,CS - Reg,2008,18,8.0,75K-100K
Lead Correctional Ofc,DOC,09,89530.0,1988-03-28,CS - Reg,1988,38,9.0,75K-100K
Legal Instrument Examiner,DOC,07,60396.0,2018-12-10,CS - Reg,2018,8,7.0,50K-75K
Supvy. Workforce Dev. Special.,DOES,12,104704.0,2009-02-02,MSS - Reg,2009,17,12.0,100K-125K
Program Analyst,DOEE,13,117029.0,2018-10-01,CS - Term,2018,8,13.0,100K-125K
Supvy Workers Comp Claims Exam,DOES,14,138498.35,1984-07-23,MSS - Reg,1984,42,14.0,125K-150K
Energy Program Specialist,DOEE,11,84517.0,2018-06-11,CS - Term,2018,8,11.0,75K-100K
Environmental Protection Speci,DOEE,11,77299.0,2024-07-15,CS - Term,2024,2,11.0,75K-100K
Environmental Protection Speci,DOEE,11,77299.0,2021-02-01,CS - Term,2021,5,11.0,75K-100K
Program Analyst,DOEE,14,158522.0,2006-03-20,CS - Reg,2006,20,14.0,150K+
Program Analyst,DOEE,13,113607.0,2022-05-23,CS - Term,2022,4,13.0,100K-125K
Program Analyst,DOEE,12,104168.0,2023-02-27,CS - Term,2023,3,12.0,100K-125K
Unemployment Compensation Clai,DOES,11,86923.0,2009-02-02,CS - Term,2009,17,11.0,75K-100K
Program Analyst,DOEE,14,141707.0,2016-05-31,CS - Reg,2016,10,14.0,125K-150K
Environmental Protection Speci,DOEE,11,84517.0,2024-09-09,CS - Term,2024,2,11.0,75K-100K
Program Analyst,DOEE,12,90805.0,2021-08-02,CS - Term,2021,5,12.0,75K-100K
Environmental Protection Speci,DOEE,11,79705.0,2024-02-12,CS - Term,2024,2,11.0,75K-100K
Environmental Protection Spec,DOEE,13,134139.0,1999-01-31,CS - Reg,1999,27,13.0,125K-150K
Environmental Protection Spec,DOEE,13,117029.0,2025-08-11,CS - Term,2025,1,13.0,100K-125K
Energy Program Specialist,DOEE,11,84517.0,2021-03-01,CS - Term,2021,5,11.0,75K-100K
Adjudication Specialist,DOES,11,69481.0,2020-09-14,CS - Term,2020,6,11.0,50K-75K
Clerical Assistant (Office Aut,DOES,07,67548.0,1984-06-21,CS - Reg,1984,42,7.0,50K-75K
Workers' Compensation Claims E,DOES,12,115680.0,1989-10-25,CS - Reg,1989,37,12.0,100K-125K
Environmental Engineer,DOEE,12,118558.0,1993-09-22,CS - Reg,1993,33,12.0,100K-125K
Case Manager,DOC,11,87089.0,2011-10-24,CS - Reg,2011,15,11.0,75K-100K
Environmental Protection Speci,DOEE,12,118558.0,1991-03-11,CS - Reg,1991,35,12.0,100K-125K
"Assoc. Director, Unempl. Comp.",DOES,15,138187.0,2017-01-09,MSS - Reg,2017,9,15.0,125K-150K
Payroll Technician,DOC,07,67548.0,2024-08-12,CS - Reg,2024,2,7.0,50K-75K
Human Resources Specialist,DOES,13,105001.0,2017-05-30,CS - Reg,2017,9,13.0,100K-125K
Program Support Assistant (Oa),DOES,07,60396.0,2018-05-16,CS - Term,2018,8,7.0,50K-75K
Workforce Development Spec.,DOES,12,109924.0,1992-03-09,CS - Reg,1992,34,12.0,100K-125K
Fish & Wildlife Biologist,DOEE,12,107046.0,2006-11-13,CS - Reg,2006,20,12.0,100K-125K
Investigator (Unemp Comp Clms),DOES,12,112802.0,2012-10-22,CS - Reg,2012,14,12.0,100K-125K
Unemployment Call Center Repre,DOES,09,64144.0,2025-05-19,CS - Term,2025,1,9.0,50K-75K
Program Analyst,DOEE,13,119916.0,2017-10-30,CS - Term,2017,9,13.0,100K-125K
Supvy Unemp Comp Claims Exam.,DOES,12,86533.06,2016-12-12,MSS - Reg,2016,10,12.0,75K-100K
Insurance Examiner,DOES,11,79705.0,2020-01-06,CS - Reg,2020,6,11.0,75K-100K
Program Analyst,DOEE,12,98412.0,2016-02-07,CS - Term,2016,10,12.0,75K-100K
Deputy Director For Urban Sust,DOEE,16,158496.5,2007-07-23,MSS - Reg,2007,19,16.0,150K+
Environmental Protection Speci,DOEE,12,104168.0,2023-02-13,CS - Term,2023,3,12.0,100K-125K
Environmental Protection Speci,DOEE,12,107046.0,2022-08-01,CS - Term,2022,4,12.0,100K-125K
Hearings And Appeals Examiner,DOES,13,105001.0,2019-05-28,CS - Term,2019,7,13.0,100K-125K
Unemployment Tax Auditor,DOES,12,90805.0,2020-07-20,CS - Term,2020,6,12.0,75K-100K
Program Analyst,DOEE,13,120451.0,2018-03-05,CS - Term,2018,8,13.0,100K-125K
Program Manager,DOES,14,125885.0,2020-08-03,MSS - Reg,2020,6,14.0,125K-150K
Public Affairs Specialist,DOEE,14,141707.0,2006-07-24,CS - Reg,2006,20,14.0,125K-150K
Supv Environmental Protection,DOEE,14,130459.35,2009-02-02,MSS - Reg,2009,17,14.0,125K-150K
Program Manager,DOES,13,100000.0,2024-04-08,MSS - Reg,2024,2,13.0,75K-100K
Paid Family Leave Claims Exami,DOES,12,98412.0,2020-10-13,CS - Term,2020,6,12.0,75K-100K
Budget Analyst,DOEE,12,118558.0,2002-01-14,CS - Reg,2002,24,12.0,100K-125K
Environmental Protection Speci,DOEE,12,104168.0,2013-11-04,CS - Term,2013,13,12.0,100K-125K
Paid Family Leave Claims Exami,DOES,12,95534.0,2023-01-03,CS - Term,2023,3,12.0,75K-100K
Workers' Compensation Claims E,DOES,12,104168.0,2010-06-21,CS - Reg,2010,16,12.0,100K-125K
Program Analyst,DOES,12,88300.0,2022-07-18,CS - Term,2022,4,12.0,75K-100K
Supervisory Energy Program Spe,DOEE,14,120000.0,2022-10-11,MSS - Reg,2022,4,14.0,100K-125K
Staff Assistant,DOEE,11,77299.0,2014-12-29,CS - Term,2014,12,11.0,75K-100K
Wage & Hour Compliance Spec,DOES,09,68116.0,2021-06-21,CS - Term,2021,5,9.0,50K-75K
Program Manager,DOES,13,100138.0,2023-02-27,ExS - Reg,2023,3,13.0,100K-125K
Program Analyst,DOEE,11,77299.0,2025-04-07,CS - Term,2025,1,11.0,75K-100K
Supv Environmental Protection,DOEE,14,126763.45,2012-03-26,MSS - Reg,2012,14,14.0,125K-150K
"Tax Chief, Paid Family Leave",DOES,14,124391.0,2019-07-22,MSS - Reg,2019,7,14.0,100K-125K
Environmental Protection Spec,DOEE,13,137561.0,2008-03-03,CS - Reg,2008,18,13.0,125K-150K
Supv Environmental Protection,DOEE,14,117874.34,2012-07-30,MSS - Reg,2012,14,14.0,100K-125K
Environmental Protection Speci,DOEE,09,70102.0,2020-04-13,CS - Reg,2020,6,9.0,50K-75K
Energy Program Specialist,DOEE,11,84517.0,2008-11-10,CS - Term,2008,18,11.0,75K-100K
Energy Program Officer,DOEE,15,141000.0,2018-04-30,MSS - Reg,2018,8,15.0,125K-150K
Fish & Wildlife Biologist,DOEE,11,79705.0,2023-10-23,CS - Term,2023,3,11.0,75K-100K
Program Manager,DOES,13,139318.0,2013-02-11,MSS - Reg,2013,13,13.0,125K-150K
Environmental Protection Speci,DOEE,12,118558.0,2011-09-26,CS - Reg,2011,15,12.0,100K-125K
Senior Deputy Director,DOES,16,168325.0,2015-12-14,MSS - Reg,2015,11,16.0,150K+
Data Scientist,DOES,13,116933.0,2024-05-06,CS - Reg,2024,2,13.0,100K-125K
Unemployment Tax Examiner,DOES,09,66130.0,2021-03-01,CS - Term,2021,5,9.0,50K-75K
Environmental Protection Speci,DOEE,11,82111.0,2004-03-08,CS - Term,2004,22,11.0,75K-100K
Program Analyst,DOEE,12,95534.0,2021-12-06,CS - Term,2021,5,12.0,75K-100K
Environmental Protection Speci,DOEE,12,98412.0,2023-01-17,CS - Term,2023,3,12.0,75K-100K
Environmental Protection Speci,DOEE,12,107046.0,2013-10-22,CS - Reg,2013,13,12.0,100K-125K
Program Analyst,DOEE,14,127615.0,2007-06-15,CS - Term,2007,19,14.0,125K-150K
Environmental Protection Speci,DOEE,11,89329.0,2025-01-27,CS - Term,2025,1,11.0,75K-100K
Staff Assistant,DOES,09,68116.0,2025-04-21,CS - Term,2025,1,9.0,50K-75K
Case Manager,DOC,09,71981.0,2022-12-05,CS - Reg,2022,4,9.0,50K-75K
Clerical Assistant (Oa),DOES,07,67548.0,1984-11-13,CS - Reg,1984,42,7.0,50K-75K
Environmental Protection Speci,DOEE,12,104168.0,2006-09-18,CS - Term,2006,20,12.0,100K-125K
Environmental Protection Speci,DOEE,12,101290.0,2023-04-24,CS - Term,2023,3,12.0,100K-125K
Case Manager,DOC,11,99874.0,1990-10-09,CS - Reg,1990,36,11.0,75K-100K
Program Analyst,DOES,13,119916.0,2025-05-05,CS - Term,2025,1,13.0,100K-125K
Environmental Protection Speci,DOEE,12,107046.0,1998-08-03,CS - Reg,1998,28,12.0,100K-125K
