job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Deputy Chief Operating Officer,DBH,15,155310.1,2002-12-18,MSS - Reg,2002,24,15.0,150K+
Psychiatric Nurse,DBH,11,125970.0,1999-03-29,CS - Reg,1999,27,11.0,125K-150K
Psychiatric Nurse,DBH,09,104691.0,2022-09-26,CS - Reg,2022,4,9.0,100K-125K
Info Technology Manager (Appsw,DBH,15,127028.79,2014-11-17,MSS - Reg,2014,12,15.0,125K-150K
Mental Hlth Spec,DBH,11,96547.0,2009-03-03,CS - Reg,2009,17,11.0,75K-100K
Early Childhood Clin Spec,DBH,13,137561.0,1995-03-18,CS - Reg,1995,31,13.0,125K-150K
Staff Assistant,DBH,09,76060.0,2017-08-21,CS - Reg,2017,9,9.0,75K-100K
Behavioral Health Technician,DBH,08,61909.0,2023-04-10,CS - Reg,2023,3,8.0,50K-75K
Psychiatric Nurse,DBH,11,125970.0,1994-08-22,CS - Reg,1994,32,11.0,125K-150K
Clinical Administrator,DBH,13,109076.76,2020-08-31,MSS - Reg,2020,6,13.0,100K-125K
Forensic Svcs Advisor & Liaiso,DBH,13,123873.0,2019-06-24,CS - Reg,2019,7,13.0,100K-125K
Behavioral Health Technician,DBH,08,63711.0,2022-10-24,CS - Reg,2022,4,8.0,50K-75K
Nurse Educator,DBH,12,128000.0,2013-12-02,CS - Reg,2013,13,12.0,125K-150K
Behavioral Health Coordinator,DBH,12,101290.0,2022-08-08,CS - Term,2022,4,12.0,100K-125K
Clinical Care Coordinator,DBH,12,118558.0,2005-04-04,CS - Reg,2005,21,12.0,100K-125K
Comm Behavioral Hlth Spec,DBH,11,77299.0,2009-09-21,CS - Reg,2009,17,11.0,75K-100K
Food Service Worker,DBH,04,25.79,2018-09-17,CS - Reg,2018,8,4.0,Under 50K
Housekeeping Aide,DBH,03,21.93,2023-05-08,CS - Reg,2023,3,3.0,Under 50K
Clerical Assistant (Typing),DBH,06,38124.38,2002-01-14,CS - Reg,2002,24,6.0,Under 50K
Behavioral Health Technician,DBH,08,56503.0,2010-06-17,CS - Reg,2010,16,8.0,50K-75K
Medical Officer (Psychiatry),DBH,5C,390232.0,2004-03-22,CS - Reg,2004,22,,150K+
Compliance Specialist,DBH,13,123873.0,1992-04-19,CS - Reg,1992,34,13.0,100K-125K
Supervisory Social Worker,DBH,13,117362.33,2006-07-10,MSS - Reg,2006,20,13.0,100K-125K
Medical Officer Psychiatry,DBH,6C,285738.75,2013-08-12,CS - Reg,2013,13,,150K+
Social Worker,DBH,12,115680.0,2012-05-07,CS - Reg,2012,14,12.0,100K-125K
Behavioral Health Technician,DBH,08,67315.0,2016-10-03,CS - Reg,2016,10,8.0,50K-75K
Housekeeping Aide,DBH,03,21.93,2023-10-10,CS - Reg,2023,3,3.0,Under 50K
Psychiatric Nurse,DBH,09,112169.0,2023-12-18,CS - Reg,2023,3,9.0,100K-125K
Clinical Nurse,DBH,11,125970.0,2011-11-07,CS - Reg,2011,15,11.0,125K-150K
Motor Vehicle Operator,DBH,08,31.88,2015-06-29,CS - Reg,2015,11,8.0,Under 50K
Housekeeping Aide,DBH,03,22.63,2022-03-14,CS - Reg,2022,4,3.0,Under 50K
Behavioral Health Technician,DBH,08,72721.0,1990-04-09,CS - Reg,1990,36,8.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2012-05-01,CS - Reg,2012,14,9.0,100K-125K
"Dir, Prev & Early Intervnt Div",DBH,15,142626.42,2006-05-01,MSS - Reg,2006,20,15.0,125K-150K
Social Worker,DBH,12,118558.0,2017-07-10,CS - Reg,2017,9,12.0,100K-125K
Behavioral Support Technician,DBH,09,80032.0,2005-08-09,CS - Reg,2005,21,9.0,75K-100K
Medical Officer Psychiatry,DBH,6C,387760.0,2013-08-12,CS - Reg,2013,13,,150K+
Social Worker,DBH,12,104168.0,2023-08-28,CS - Reg,2023,3,12.0,100K-125K
Information Technology Special,DBH,13,134139.0,2012-01-03,CS - Reg,2012,14,13.0,125K-150K
Program Specialist,DBH,12,95816.0,1986-06-11,CS - Reg,1986,40,12.0,75K-100K
Chaplain Resident,DBH,07,37336.0,2025-09-08,CS - Temp,2025,1,7.0,Under 50K
Psychiatric Nurse,DBH,11,125970.0,2003-01-13,CS - Reg,2003,23,11.0,125K-150K
Treatment Program Specialist,DBH,11,91735.0,2014-11-17,CS - Reg,2014,12,11.0,75K-100K
Investigative Analysis Special,DBH,13,137561.0,1997-04-14,CS - Reg,1997,29,13.0,125K-150K
Behavioral Health Technician,DBH,08,56503.0,2025-03-24,CS - Reg,2025,1,8.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,2007-02-20,CS - Reg,2007,19,8.0,50K-75K
Comm Behavioral Hlth Spec,DBH,11,77299.0,2023-12-04,CS - Reg,2023,3,11.0,75K-100K
Deputy Director Of Child/Youth,DBH,16,164019.0,2004-09-27,MSS - Reg,2004,22,16.0,150K+
Clinical Psychologist,DBH,13,117029.0,2020-07-01,CS - Reg,2020,6,13.0,100K-125K
Nurse Practitioner,DBH,12,132267.0,2010-09-27,CS - Reg,2010,16,12.0,125K-150K
Social Worker,DBH,12,92656.0,2022-07-18,CS - Reg,2022,4,12.0,75K-100K
Comm Behavioral Hlth Spec,DBH,11,82111.0,2010-10-25,CS - Reg,2010,16,11.0,75K-100K
Medical Officer Psych Res,DBH,00,79446.0,2023-07-01,CS - Temp,2023,3,0.0,75K-100K
Mental Health Counselor,DBH,08,65513.0,2019-02-11,CS - Reg,2019,7,8.0,50K-75K
Supervisory Psychiatric Nurse,DBH,13,122764.25,2022-07-11,MSS - Reg,2022,4,13.0,100K-125K
Supervisory Medical Ofcr (Psyc,DBH,MD5,141610.03,2020-06-01,MSS - Reg,2020,6,,125K-150K
Behavioral Health Technician,DBH,08,67315.0,2017-10-30,CS - Reg,2017,9,8.0,50K-75K
Program Monitor (Sbbhe),DBH,12,104168.0,2015-07-20,CS - Reg,2015,11,12.0,100K-125K
